, , ,0
тысяча,тысячи,тысяч,1
миллион,миллиона,миллионов,0
миллиард,миллиарда,миллиардов,0
триллион,триллиона,триллионов,0
квадриллион,квадриллиона,квадриллионов,0
квинтиллион,квинтиллиона,квинтиллионов,0
секстиллион,секстиллиона,секстиллионов,0
септиллион,септиллиона,септиллионов,0
октиллион,октиллиона,октиллионов,0
ноналлион,ноналлиона,ноналлионов,0
дециллион,дециллиона,дециллионов,0
андециллион,андециллиона,андециллионов,0
дуодециллион,дуодециллиона,дуодециллионов,0
тредециллион,тредециллиона,тредециллионов,0
кваттордециллион,кваттордециллиона,кваттордециллионов,0
квиндециллион,квиндециллиона,квиндециллионов,0
сексдециллион,сексдециллиона,сексдециллионов,0
септемдециллион,септемдециллиона,септемдециллионов,0
октодециллион,октодециллиона,октодециллионов,0
новемдециллион,новемдециллиона,новемдециллионов,0
вигинтиллион,вигинтиллиона,вигинтиллионов,0
...n-лион,...n-лиона,...n-лионов,0
